Task ID,Sprint,Gate,Task,Description,Input,Action,Output,Evidence,Dependency,Estimated Effort,AI Assistance,Human Validation,Status
OPS-049,S5,G3,Perbarui AI Usage Log dan jurnal mingguan W5,Penggunaan AI untuk sintesis dicatat dengan cara verifikasinya; refleksi ditulis.,docs/AI-USAGE.md; kegiatan minggu ini,Lengkapi entri log; tulis jurnal W5: gap mana yang paling meyakinkan dan mengapa,AI Usage Log W5 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w05.md,OPS-041;OPS-042,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-050,S6,G4,"Ikuti sesi RQ, Claim & Contribution","Mahasiswa belajar menulis RQ yang spesifik dan dapat dijawab, hipotesis yang dapat difalsifikasi, dan jenis kontribusi computing.",Materi W6; MET-04 RQ/Hypothesis dan Contribution; ARC-06 taksonomi output,Ikuti sesi; latihan mengubah 3 RQ lemah menjadi RQ terukur; identifikasi jenis kontribusi tiap contoh,Latihan RQ,docs/journal/w06.md berisi latihan,OPS-042,2h,Memberi contoh RQ lemah untuk diperbaiki,Mahasiswa menjelaskan mengapa RQ hasil perbaikan lebih dapat dijawab,Planned
OPS-051,S6,G4,Tulis Research Gap final dengan Gap-Claim-Evidence alignment,"Gap terpilih ditulis final: pernyataan gap, bukti matriks pendukung, dan klaim yang ingin diuji, dalam satu tabel alignment.",Gap terpilih (OPS-046); docs/literature-map.md; docs/endgame.md klaim awal,Tulis tabel Gap | Evidence (baris matriks) | Claim; revisi klaim awal agar sesuai bukti; tutup Issue literature-gap dengan rujukan,docs/research-question.md bagian Gap,Tabel alignment terisi; Issue literature-gap ditutup dengan tautan,OPS-046;OPS-047,2h,Menantang konsistensi antara gap dan klaim,Dosen memeriksa gap ditelusuri ke baris matriks tertentu,Planned
OPS-052,S6,G4,Rumuskan 1-3 RQ dan/atau hipotesis yang dapat difalsifikasi,"RQ ditulis spesifik, terukur, dan dapat dijawab dalam batas semester + TA; hipotesis (bila ada) menyebut arah dan pembanding.",docs/research-question.md bagian Gap; docs/problem.md,Tulis RQ utama + RQ turunan (maks 3); untuk tiap RQ tulis apa jawaban yang mungkin dan apa yang membuatnya salah; tandai hipotesis,RQ/hipotesis dalam docs/research-question.md,Tiap RQ menunjuk gap dan baris matriks,OPS-051,2h,Mengusulkan variasi rumusan RQ dan menguji keterjawaban; tim memilih,Dosen dan mentor memeriksa RQ spesifik dan dapat dijawab,Planned
OPS-053,S6,G4,Tulis Contribution Statement,"Jenis kontribusi (empiris, artefak, metode, dataset, replikasi, studi kasus) dinyatakan dengan alasan mengapa bermakna bagi stakeholder dan literatur.",RQ; docs/problem.md; ARC-06,Pilih jenis kontribusi; tulis 1 paragraf 'kontribusi ini bermakna karena ___'; hindari kata 'pertama di Indonesia' tanpa bukti,docs/research-question.md bagian Contribution,Commit; kontribusi konsisten dengan RQ dan endgame,OPS-052,1.5h,Mengkritik kontribusi yang melebihi RQ,Tim memastikan kontribusi tidak melebihi apa yang RQ dapat buktikan,Planned
OPS-054,S6,G4,Uji RQ dengan checklist keterjawaban dan falsifiabilitas,"Setiap RQ diuji: dapatkah dijawab dengan data yang ada, apakah ada hasil yang akan membatalkannya, apakah selaras dengan gap dan bukti.",docs/research-question.md; daftar dataset umum (OPS-037); AIX-01 falsification,"Isi checklist per RQ: data, metrik kandidat, hasil pembatal, waktu; revisi RQ yang gagal; catat perubahan",Checklist RQ terisi,docs/research-question.md bagian RQ Check; riwayat revisi di commit,OPS-052;OPS-053,1.5h,Berperan sebagai reviewer skeptis terhadap RQ,Tim menuliskan hasil yang akan membatalkan tiap RQ,Planned
OPS-055,S6,G4,Perbarui Research One-Pager ke v1 (problem-gap-RQ-contribution),"One-Pager v1 memuat problem, gap, RQ, dan contribution; method/data/baseline masih tentatif dan ditandai.",docs/one-pager.md v0; docs/research-question.md,"Isi bagian Gap, RQ, Contribution; perbarui Why; tandai Method/Data/Baseline/Metric sebagai tentatif menunggu G5",docs/one-pager.md v1,Commit dengan tag one-pager-v1,OPS-020;OPS-054,1h,Meringkas; tim mengedit dan memverifikasi,Tim memeriksa v1 konsisten dengan research-question.md,Planned
OPS-056,S6,G4,Buka Issue type:research-question,RQ resmi dicatat sebagai Issue Research Question terkait Research ID agar dapat dilacak sampai TA.,Form Issue Research Question; docs/research-question.md,"Isi form dengan RQ, hipotesis, gap pendukung, kontribusi; tautkan Issue problem dan literature-gap",Issue type:research-question,Nomor Issue dicatat di README riset dan one-pager,OPS-052;OPS-053,0.5h,-,Tim memeriksa RQ di Issue identik dengan dokumen,Planned
OPS-057,S6,G4,Siapkan PR GATE REVIEW: Question Ready,"Bukti G4 (research-question.md, one-pager v1, Issue RQ) diajukan dalam PR dari branch research/g4-question dengan template default.",OPS-03 G4; docs/research-question.md; docs/one-pager.md,Buat branch research/g4-question; buka PR; minta review dosen + mentor; tanggapi komentar; merge bila lulus; perbarui label gate:G4-question,PR GATE REVIEW: Question Ready,URL PR; label gate:G4-question; README riset bagian Current Research Gate,OPS-047;OPS-051;OPS-054;OPS-055;OPS-056,1h,-,Dosen + mentor memeriksa tiap RQ ditelusuri ke matriks,Planned
OPS-058,S6,G4,Perbarui AI Usage Log dan jurnal mingguan W6,Penggunaan AI dalam merumuskan RQ dicatat beserta keputusan yang diambil manusia; refleksi ditulis.,docs/AI-USAGE.md; kegiatan minggu ini,Lengkapi entri log; tulis jurnal W6: apa yang berubah dari klaim awal W1 ke RQ sekarang,AI Usage Log W6 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w06.md,OPS-049;OPS-050,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-059,S7,G5,Ikuti sesi Computing Research Methods Map dan validitas,"Mahasiswa mengenal peta metode computing (experiment, benchmarking, design science, empirical SE, ML research, simulation, survey, user study, case study, qualitative) serta variabel, kontrol, sampling, confounder, dan 4 jenis validitas.",Materi W7; MET-04 Research Design; TPL-08,Ikuti sesi; kerjakan latihan mencocokkan 5 RQ contoh dengan jenis metode dan ancaman validitasnya,Latihan metode-validitas,docs/journal/w07.md berisi latihan,OPS-050,2h,Menjelaskan perbedaan jenis metode dengan contoh,Mahasiswa memilih metode untuk RQ contoh dengan alasan,Planned
OPS-060,S7,G5,Pilih jenis metode dari Methods Map untuk tiap RQ,"Setiap RQ dipasangkan dengan jenis metode yang mampu menghasilkan bukti yang dibutuhkan, dengan alasan dan alternatif yang ditolak.",docs/research-question.md; common-metrics-baselines.md; metode yang lazim di matriks,Buat tabel RQ | bukti yang dibutuhkan | jenis metode | alternatif ditolak + alasan,Tabel pemilihan metode,docs/research-design.md bagian Method Selection,OPS-052;OPS-057;OPS-059,2h,Menawarkan alternatif metode dan kelemahannya; keputusan oleh tim,Mentor memeriksa metode mampu menjawab RQ,Planned
OPS-061,S7,G5,"Definisikan variabel, konstruk, kontrol, dan sampling","Variabel bebas/terikat atau konstruk, faktor yang dikontrol, unit analisis, dan strategi sampling ditetapkan agar desain dapat dieksekusi orang lain.",Tabel pemilihan metode; docs/research-question.md,Tulis daftar variabel/konstruk dengan definisi operasional; tentukan kontrol dan confounder yang diwaspadai; tentukan unit analisis dan sampling,Bagian Variables & Controls di docs/research-design.md,Commit; tiap variabel punya definisi operasional,OPS-060,2h,Mengusulkan confounder yang mungkin terlewat,Tim memverifikasi definisi operasional dapat diukur,Planned
OPS-062,S7,G5,"Tulis Dataset/Data Plan: sumber, akses, lisensi, privasi, ukuran","Rencana data menjelaskan dari mana bukti berasal, cara akses, lisensi, privasi, ukuran, representativitas, dan rencana split.",Daftar dataset umum (OPS-037); datasets-registry/REGISTRY.md; TPL-05,Pilih sumber data; cek lisensi dan izin; nilai representativitas terhadap populasi; rencanakan split train/val/test atau sampel; tulis batasan,docs/data-plan.md,Commit docs/data-plan.md; lisensi dan URL sumber tercantum,OPS-037;OPS-061,2.5h,Membantu menelusuri lisensi dataset; tim memverifikasi ke sumber asli,Tim memastikan data boleh dipakai dan tidak memuat data pribadi tanpa izin,Planned
OPS-063,S7,G5,Daftarkan dataset ke datasets-registry (dataset card),Dataset yang dipakai (baru atau turunan) dicatat sebagai metadata di datasets-registry memakai TPL-05; data mentah tidak masuk GitHub.,docs/data-plan.md; TPL-05 Dataset Registry Template; Issue form Dataset,"Isi dataset card: dataset, domain, URL/source, owner, license, size, modality, quality, privacy, possible RQs; buka Issue type:dataset; ajukan PR ke datasets-registry/datasets/",Dataset card + Issue type:dataset,PR ke datasets-registry; ID DS-YYYY-NNN diberikan pengelola,OPS-062,1.5h,Membantu merapikan metadata; nilai lisensi/privasi diverifikasi tim,Pengelola registry memeriksa privasi dan lisensi,Planned
OPS-064,S7,G5,Tetapkan baseline paling sederhana dan alasannya,Baseline yang paling sederhana namun masuk akal ditetapkan sebelum eksperimen; tanpa baseline angka metrik tidak bermakna.,common-metrics-baselines.md; docs/research-design.md,Pilih baseline trivial (mayoritas/rata-rata/heuristik) dan baseline literatur; tulis alasan; tentukan cara implementasinya,Bagian Baseline di docs/research-design.md,Commit; minimal 1 baseline trivial + 1 baseline literatur dengan sitasi,OPS-037;OPS-060,1.5h,Mengusulkan baseline sederhana; tim memilih,Mentor memeriksa baseline cukup sederhana dan adil,Planned
OPS-065,S7,G5,Pilih metrik yang selaras dengan RQ dan prosedur evaluasi anti-leakage,"Metrik utama dan sekunder ditetapkan selaras dengan RQ; prosedur evaluasi (split, cross-validation, seed) dirancang agar tidak bocor.",docs/research-question.md; common-metrics-baselines.md; MST-03 definisi leakage,"Pilih metrik utama + alasan; tentukan prosedur split/CV, seed, jumlah run; tulis daftar sumber leakage dan cara mencegahnya; kunci metrik sebelum melihat hasil",Bagian Metrics & Evaluation di docs/research-design.md,Commit sebelum eksperimen; metrik terkunci dicatat dengan tanggal,OPS-064,2h,Menjelaskan sifat metrik dan skenario leakage; tim memutuskan,Dosen memeriksa metrik selaras RQ dan prosedur mencegah leakage,Planned
OPS-066,S7,G5,Isi Research Design Card (TPL-08),Seluruh keputusan desain dirangkum dalam satu halaman Research Design Card.,TPL-08; docs/research-design.md; docs/data-plan.md,"Salin TPL-08 ke docs/design-card.md; isi semua field (metode, variabel, data, baseline, metrik, prosedur, threats awal); tautkan ke dokumen rinci",docs/design-card.md,Commit; tidak ada field kosong,OPS-061;OPS-062;OPS-064;OPS-065,1.5h,Merapikan bahasa; isi dari dokumen tim,Mentor memeriksa orang lain dapat menjalankan desain tanpa bertanya,Planned
OPS-067,S7,G5,Tulis Threats to Validity awal (4 jenis validitas),"Ancaman validitas awal ditulis sebelum eksperimen, beserta mitigasi yang direncanakan.",docs/design-card.md; AIX-01 falsification; contoh threats dari matriks,Tulis tabel Threat | Jenis | Dampak | Mitigasi | Status; minimal 2 ancaman per jenis,docs/research-design.md bagian Threats to Validity v0,Commit tabel threats v0,OPS-066,1.5h,Berperan sebagai red team mengusulkan ancaman; tim menilai relevansi,Tim memastikan tiap ancaman punya mitigasi atau dinyatakan diterima,Planned
OPS-068,S7,G5,Perbarui AI Usage Log dan jurnal mingguan W7,Penggunaan AI dalam merancang metode dicatat; refleksi ditulis.,docs/AI-USAGE.md; kegiatan minggu ini,Lengkapi entri log; tulis jurnal W7: keputusan desain mana yang paling berisiko,AI Usage Log W7 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w07.md,OPS-058;OPS-059,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-069,S8,G5,Ikuti sesi Measurement & Evaluation dan persiapan red team,"Mahasiswa memperdalam metric selection, benchmark, error analysis, statistical thinking, dan cara menerima red team review.",Materi W8; MET-06 5E Rubric; TPL-13,Ikuti sesi; kerjakan latihan membaca tabel hasil eksperimen contoh dan menemukan klaim yang tidak didukung,Latihan evaluasi,docs/journal/w08.md berisi latihan,OPS-059,2h,Membuat tabel hasil sintetis untuk latihan (ditandai sebagai latihan),Mahasiswa menemukan klaim tak didukung secara mandiri,Planned
OPS-070,S8,G5,Tulis Ethics & Privacy plan (docs/ethics.md),"Rencana etika dan privasi: data pribadi, persetujuan, bias, dampak pada stakeholder, dan batasan penggunaan AI.",MET-07 Integrity & Ethics; docs/data-plan.md; SECURITY.md,"Isi docs/ethics.md: jenis data, risiko privasi, persetujuan, anonimisasi, bias, dampak, kebutuhan review etik bila ada subjek manusia",docs/ethics.md,Commit docs/ethics.md; risiko privasi dan mitigasi tercantum,OPS-062,2h,Membantu menyusun checklist risiko; penilaian oleh tim,Dosen memeriksa tidak ada data pribadi yang masuk repo,Planned
OPS-071,S8,G5,Isi Experiment Card untuk pilot (TPL-09),"Pilot experiment dirancang dalam Experiment Card: hipotesis, baseline, variabel, dataset, metrik, kontrol, expected result, threats.",TPL-09; docs/design-card.md; docs/data-plan.md,Salin TPL-09 ke experiments/pilot-01/experiment-card.md; isi semua field; tulis expected result sebelum eksperimen; buka Issue type:experiment,experiments/pilot-01/experiment-card.md + Issue,Commit card; Issue type:experiment tertaut,OPS-064;OPS-065;OPS-066,1.5h,Mengkritik kelengkapan card,Mentor memeriksa expected result ditulis sebelum eksperimen,Planned
OPS-072,S8,G5,Susun slide Mid-semester Research Pitch (7-10 menit),"Pitch menyajikan problem, gap, RQ, desain, data, baseline, metrik, threats, dan permintaan umpan balik.",TPL-13 Research Defense Template; docs/one-pager.md v1; docs/design-card.md,Buat maksimal 10 slide mengikuti struktur TPL-13; sertakan pertanyaan yang ingin dijawab red team; latih 1 kali dengan timer,presentation/midterm-pitch.pdf,Commit slide; durasi latihan tercatat,OPS-066;OPS-071,3h,Membantu merapikan alur slide; klaim dan angka dari dokumen tim,Tim memastikan tiap slide bersumber dari artefak repo,Planned
OPS-073,S8,G5,Lakukan Red Team Review terhadap desain tim lain,Tim berperan sebagai red team bagi tim lain: mencari cara desain mereka gagal menjawab RQ.,Design card tim lain; TPL-12 Peer Review Template; OPS-03 G5,"Baca design card tim lain; tulis minimal 5 serangan (validitas, leakage, baseline, data, etika) dengan saran perbaikan; sampaikan saat sesi",Red team memo untuk tim lain,File review terkirim ke repo tim lain (Issue atau PR comment),OPS-069,2h,Mengusulkan sudut serangan tambahan; tim memilih yang relevan,"Dosen memeriksa serangan spesifik, bukan generik",Planned
OPS-074,S8,G5,Presentasikan pitch dan terima Red Team Review,"Tim mempresentasikan desain di depan dosen, mentor, dan red team; semua serangan dicatat tanpa defensif.",presentation/midterm-pitch.pdf; red team dari tim lain,Presentasi 7-10 menit; tanya jawab; catat setiap serangan dan pertanyaan ke notulen; tentukan tindak lanjut per item,Notulen red team,docs/reviews/midterm-red-team.md berisi daftar serangan + tindak lanjut,OPS-072;OPS-073,2h,-,Dosen memverifikasi notulen memuat semua serangan penting,Planned
OPS-075,S8,G5,Revisi Research Design berdasarkan red team,"Design card, experiment card, threats to validity, dan data plan direvisi sesuai serangan yang valid; serangan yang ditolak dijelaskan alasannya.",docs/reviews/midterm-red-team.md; semua dokumen desain,Untuk tiap item: terima/tolak + alasan; perbarui dokumen; catat perubahan di CHANGELOG riset,Desain revisi,Commit revisi; tabel tindak lanjut di midterm-red-team.md berstatus selesai,OPS-074,2h,Membantu menilai konsekuensi tiap perubahan,Mentor memeriksa revisi menjawab serangan valid,Planned
OPS-076,S8,G5,Siapkan PR GATE REVIEW: Method Ready (method-review.md),"Bukti G5 (research-design.md, design card, experiment card, data plan, ethics.md, slide pitch, notulen red team) diajukan dalam PR dari branch research/g5-method.",OPS-03 G5; .github/PULL_REQUEST_TEMPLATE/method-review.md; semua artefak desain,Buat branch research/g5-method; isi template PR; minta review dosen + mentor; tanggapi; merge; buat release v0.3 Research Design,PR GATE REVIEW: Method Ready,URL PR; release v0.3; label gate:G5-method,OPS-063;OPS-067;OPS-070;OPS-075,1.5h,-,Reviewer memeriksa metrik dan baseline sudah ditetapkan sebelum eksperimen,Planned
OPS-077,S8,G5,Perbarui AI Usage Log dan jurnal mingguan W8,Penggunaan AI dalam menyiapkan pitch dan red team dicatat; refleksi ditulis.,docs/AI-USAGE.md; kegiatan minggu ini,Lengkapi entri log; tulis jurnal W8: serangan mana yang paling mengubah desain,AI Usage Log W8 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w08.md,OPS-068;OPS-069,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-078,S9,G6,"Ikuti sesi Data, Experiments & Reproducibility","Mahasiswa belajar reproducibility package: kode, konfigurasi, seed, environment, langkah eksekusi, log; serta artifact badging ACM sebagai norma.",Materi W9; MST-03 reproducibility package; TPL-15,Ikuti sesi; coba mereproduksi notebook contoh dari environment bersih; catat kegagalan,Catatan reproduksi latihan,docs/journal/w09.md berisi catatan,OPS-069,2h,Membantu mendiagnosis error environment,Mahasiswa menjalankan sendiri di environment bersih,Planned
OPS-079,S9,G6,"Siapkan environment dan seed (requirements/environment, config)",Environment terkunci versi dan konfigurasi eksperimen terpusat agar hasil dapat diulang.,Repo riset; docs/design-card.md; experiment card,"Buat requirements.txt atau environment.yml dengan versi terkunci; buat experiments/pilot-01/config.yaml (seed, split, hyperparameter); tulis fungsi set_seed",File environment + config,Commit requirements/environment dan config; seed tercantum,OPS-071;OPS-078,2h,Membantu menulis boilerplate config dan set_seed; diuji tim,Tim menguji instalasi dari nol berhasil,Planned
OPS-080,S9,G6,"Bangun pipeline data: loading, cleaning, split anti-leakage","Data dimuat, dibersihkan, dan dipisah sesuai prosedur evaluasi terkunci; data mentah tetap di luar GitHub.",docs/data-plan.md; config; data di penyimpanan resmi,"Tulis src/data.py: load, clean, split dengan seed; simpan hanya metadata/sampel kecil di data/README.md; tulis tes sederhana tidak ada overlap train/test",src/data.py + data/README.md,Commit kode; tes anti-leakage lulus; .gitignore mengecualikan data mentah,OPS-079,4h,Membantu menulis kode dan tes; hasil tes dijalankan tim,Tim memverifikasi tidak ada overlap train/test dan tidak ada data pribadi di repo,Planned
OPS-081,S9,G6,Implementasikan baseline dan evaluasi metrik terkunci,Baseline trivial dan baseline literatur diimplementasikan; fungsi evaluasi memakai metrik yang dikunci di G5.,docs/research-design.md bagian Baseline & Metrics; src/data.py,Tulis src/baseline.py dan src/evaluate.py; jalankan baseline pada subset; simpan hasil ke results/pilot-01/baseline.json,Kode baseline + hasil awal,Commit kode; results/pilot-01/baseline.json dengan seed dan tanggal,OPS-064;OPS-065;OPS-080,4h,Membantu menulis kode dan debugging; angka dijalankan dan diperiksa tim,Tim memeriksa metrik di kode identik dengan metrik terkunci,Planned
OPS-082,S9,G6,Implementasikan metode utama / artefak yang diuji,Metode atau artefak yang menjadi subjek RQ diimplementasikan dalam bentuk yang dapat dijalankan dari config.,docs/design-card.md; experiment card; src/,Tulis src/method.py (atau modul artefak); pastikan berjalan dari config dan seed; uji pada sampel kecil,src/method.py,Commit kode; smoke test berjalan pada subset,OPS-079;OPS-080,6h,Membantu implementasi dan debugging sesuai AI Research Protocol; setiap potongan dicatat di AI Usage Log,Tim membaca dan memahami setiap fungsi yang dibantu AI,Planned
OPS-083,S9,G6,Buat skrip run.sh/Makefile dan logging eksperimen,Satu perintah menjalankan pipeline penuh dan menulis log serta hasil ke results/ dengan penamaan konsisten.,src/; config,Tulis run.sh atau Makefile target pilot; tulis log ke experiments/pilot-01/logs/; simpan hasil sebagai JSON/CSV dengan timestamp dan git hash,run.sh/Makefile + logging,Commit; menjalankan perintah menghasilkan results/ dan logs/,OPS-081;OPS-082,2h,Membantu menulis skrip; diuji tim,Tim memastikan hasil memuat git hash dan seed,Planned
OPS-084,S9,G6,Tulis experiments/README.md (reproducibility README v0),"README menjelaskan cara menjalankan pilot dari nol: instalasi, data, perintah, output yang diharapkan, waktu berjalan.",run.sh; config; data/README.md,Tulis langkah 1-2-3 instalasi dan eksekusi; sebutkan output yang diharapkan; sebutkan keterbatasan,experiments/README.md v0,Commit README; langkah dapat diikuti orang lain,OPS-083,1.5h,Merapikan format README,Anggota lain mengikuti README tanpa bertanya,Planned
OPS-085,S9,G6,Perbarui AI Usage Log untuk kode yang dibantu AI dan jurnal W9,"Setiap potongan kode yang dibantu AI dicatat: tujuan, bagian yang dipakai, cara verifikasi (tes/pembacaan); refleksi ditulis.",docs/AI-USAGE.md; commit minggu ini,Lengkapi entri log per modul; tandai kode yang diambil utuh vs diadaptasi; tulis jurnal W9,AI Usage Log W9 + jurnal,Commit docs/AI-USAGE.md; entri merujuk file/commit,OPS-077;OPS-082,1h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-086,S9,G6,Lakukan code review internal dan checklist kualitas kode,"Anggota tim saling mereview kode: keterbacaan, seed, tidak ada hardcode path, tidak ada data pribadi, tes lulus.",src/; PR internal,Buka PR internal exp/pilot-01; reviewer memeriksa checklist; perbaiki; merge,PR internal termerge,URL PR internal dengan komentar review,OPS-083;OPS-084,1.5h,Membantu menjelaskan potongan kode saat review,Reviewer manusia menyetujui PR,Planned
OPS-087,S10,G6,Ikuti sesi Pilot Study / Minimum Viable Experiment,"Mahasiswa memahami tujuan pilot: menguji viabilitas desain, bukan mengejar angka terbaik; serta cara membaca hasil awal.",Materi W10; experiment card,Ikuti sesi; tinjau expected result di experiment card; tulis apa yang akan dianggap pilot 'berhasil' dan 'gagal',Kriteria keberhasilan pilot,experiments/pilot-01/experiment-card.md bagian Success Criteria,OPS-071;OPS-078,1.5h,-,Mentor memeriksa kriteria ditulis sebelum menjalankan pilot,Planned
OPS-088,S10,G6,Jalankan pilot end-to-end: baseline + minimal satu metode pembanding,Pilot dijalankan penuh pada subset data dengan seed tetap; baseline dan metode utama menghasilkan angka pada metrik terkunci.,run.sh; config; src/,Jalankan pilot dengan minimal 3 seed; simpan hasil per run di results/pilot-01/; catat waktu dan resource,Hasil pilot,"results/pilot-01/*.json dengan seed, git hash, timestamp",OPS-076;OPS-081;OPS-082;OPS-083;OPS-086,4h,Membantu mendiagnosis error saat berjalan,Tim memeriksa hasil berasal dari kode yang ter-commit,Planned
OPS-089,S10,G6,Buat tabel hasil pilot dan figur awal,Hasil pilot dirangkum dalam tabel (mean +/- std antar seed) dan 1-2 figur awal dengan baseline terlihat.,results/pilot-01/,Tulis notebooks/pilot-results.ipynb atau src/report.py; hasilkan tabel dan figur ke figures/pilot-01/; sertakan baseline pada setiap figur,Tabel + figur pilot,results/pilot-01/summary.md dan figures/pilot-01/*.png,OPS-088,2h,Membantu kode plotting; tim memeriksa skala dan label,Tim memastikan baseline terlihat dan sumbu tidak menyesatkan,Planned
OPS-090,S10,G6,Lakukan sanity check dan uji leakage pada hasil pilot,"Hasil pilot diperiksa: apakah terlalu bagus untuk benar, apakah split bocor, apakah metrik dihitung benar.",results/pilot-01/; src/evaluate.py; docs/research-design.md,Jalankan checklist: hasil pada data acak (label shuffle) harus jatuh ke chance; cek overlap; cek metrik dengan perhitungan manual pada sampel kecil,Catatan sanity check,results/pilot-01/sanity-check.md dengan hasil tiap pemeriksaan,OPS-088,2h,Mengusulkan pemeriksaan tambahan,Tim menuliskan bukti tiap pemeriksaan lulus atau gagal,Planned
OPS-091,S10,G6,Minta peer mereproduksi hasil baseline dari repositori,"Anggota tim lain atau peer dari tim lain mereproduksi angka baseline hanya dari README dan repo, tanpa bertanya ke tim.",experiments/README.md; repo; peer reproducer,"Serahkan URL repo ke peer; peer menjalankan dari environment bersih; peer mencatat angka, waktu, kendala; bandingkan dengan results/",Catatan reproduksi peer,docs/reviews/reproduction-pilot-01.md ditandatangani peer dengan angka yang diperoleh,OPS-085;OPS-088,2h,-,Peer reproducer mengonfirmasi angka baseline cocok dalam toleransi,Planned
OPS-092,S10,G6,Perbaiki reproducibility README dan kode berdasarkan kendala peer,"Kendala reproduksi (langkah hilang, versi, path) diperbaiki sampai reproduksi berjalan mulus.",docs/reviews/reproduction-pilot-01.md,Perbaiki README/skrip; minta peer mengulang bila ada kegagalan; perbarui experiments/README.md ke v1,experiments/README.md v1,Commit perbaikan; catatan peer berstatus berhasil,OPS-091,1.5h,Membantu memperjelas instruksi,Peer mengonfirmasi reproduksi berhasil setelah perbaikan,Planned
OPS-093,S10,G6,Perbarui Experiment Card dengan hasil aktual dan catatan pilot,"Experiment card dilengkapi hasil aktual vs expected, penyimpangan, dan keputusan: lanjut, ubah desain, atau ubah skala.",experiment card; results/pilot-01/summary.md; sanity check,"Isi bagian Actual Result, Deviations, Decision; perbarui Issue type:experiment; catat perubahan desain bila ada",Experiment card terisi penuh,Commit card; Issue experiment diperbarui,OPS-089;OPS-090,1h,-,Mentor memeriksa keputusan lanjut/ubah masuk akal,Planned
OPS-094,S10,G6,Siapkan PR GATE REVIEW: Experiment Ready (experiment-review.md),"Bukti G6 (commit eksperimen, experiments/README, hasil pilot, catatan reproduksi peer, AI Usage Log kode) diajukan dalam PR dari branch research/g6-experiment.",OPS-03 G6; .github/PULL_REQUEST_TEMPLATE/experiment-review.md; semua artefak eksperimen,Buat branch research/g6-experiment; isi template PR; minta review dosen + peer reproducer; tanggapi; merge; buat release v0.5 Pilot Experiment,PR GATE REVIEW: Experiment Ready,URL PR; release v0.5; label gate:G6-experiment,OPS-085;OPS-089;OPS-091;OPS-092;OPS-093,1.5h,-,Reviewer memeriksa peer dapat mereproduksi angka baseline dari repositori,Planned
OPS-095,S10,G6,Perbarui AI Usage Log dan jurnal mingguan W10,Penggunaan AI selama pilot dicatat; refleksi ditulis.,docs/AI-USAGE.md; kegiatan minggu ini,Lengkapi entri log; tulis jurnal W10: apa yang mengejutkan dari hasil pilot,AI Usage Log W10 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w10.md,OPS-085;OPS-087,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-096,S11,G7,Ikuti sesi Analyzing & Visualizing Evidence,"Mahasiswa belajar error analysis, membaca variansi antar seed/fold, interval bila relevan, dan visualisasi jujur (skala, baseline terlihat, tanpa cherry-picking).",Materi W11; MET-04 Results & Validity; hasil pilot,Ikuti sesi; kerjakan latihan menemukan visualisasi menyesatkan pada contoh dan memperbaikinya,Latihan visualisasi,docs/journal/w11.md berisi latihan,OPS-087,2h,Membuat contoh figur menyesatkan untuk latihan (ditandai latihan),Mahasiswa memperbaiki figur secara mandiri,Planned
OPS-097,S11,G7,Jalankan eksperimen utama pada skala penuh sesuai desain,"Setelah pilot viabel, eksperimen dijalankan pada skala yang direncanakan dengan seed/fold sesuai prosedur evaluasi terkunci.",experiment card (keputusan lanjut); run.sh; config,"Perbarui config untuk skala penuh; jalankan semua kondisi (baseline, metode) x seed; simpan hasil ke results/main/",Hasil eksperimen utama,"results/main/*.json dengan seed, git hash, timestamp",OPS-088;OPS-093;OPS-094,6h,Membantu mendiagnosis error; tidak mengubah metrik atau prosedur,Tim memastikan metrik dan prosedur identik dengan yang dikunci di G5,Planned
OPS-098,S11,G7,Hitung ringkasan statistik dan ketidakpastian antar seed/fold,"Hasil dirangkum sebagai mean, std/interval antar seed/fold; perbandingan terhadap baseline dilaporkan dengan ketidakpastiannya.",results/main/,"Tulis src/analysis.py: agregasi per kondisi; hitung mean, std, interval bila relevan; uji statistik sederhana bila desain menuntut; simpan results/main/summary.csv",results/main/summary.csv,Commit skrip dan tabel; angka dapat direproduksi dari results/main/,OPS-097,3h,Menjelaskan pilihan uji statistik dan asumsinya; tim memilih dan memverifikasi,"Dosen memeriksa ketidakpastian dilaporkan, bukan hanya angka terbaik",Planned
